Sensor,Date_Time,Date,Time,Count
Lygon St (East),2018-12-01 04:00:00,2018-12-01,4,1
Flinders St-Swanston St (West),2018-12-01 04:00:00,2018-12-01,4,29
Alfred Place,2018-12-01 04:00:00,2018-12-01,4,NA
Lonsdale St-Spring St (West),2018-12-01 04:00:00,2018-12-01,4,8
Grattan St-Swanston St (West),2018-12-01 04:00:00,2018-12-01,4,NA
Monash Rd-Swanston St (West),2018-12-01 04:00:00,2018-12-01,4,2
Tin Alley-Swanston St (West),2018-12-01 04:00:00,2018-12-01,4,2
Bourke Street Mall (North),2018-12-01 05:00:00,2018-12-01,5,53
Bourke Street Mall (South),2018-12-01 05:00:00,2018-12-01,5,15
Melbourne Central,2018-12-01 05:00:00,2018-12-01,5,104
Town Hall (West),2018-12-01 05:00:00,2018-12-01,5,94
Princes Bridge,2018-12-01 05:00:00,2018-12-01,5,46
Flinders Street Station Underpass,2018-12-01 05:00:00,2018-12-01,5,143
Birrarung Marr,2018-12-01 05:00:00,2018-12-01,5,52
Webb Bridge,2018-12-01 05:00:00,2018-12-01,5,8
Southern Cross Station,2018-12-01 05:00:00,2018-12-01,5,22
Victoria Point,2018-12-01 05:00:00,2018-12-01,5,14
Waterfront City,2018-12-01 05:00:00,2018-12-01,5,5
New Quay,2018-12-01 05:00:00,2018-12-01,5,12
Flagstaff Station,2018-12-01 05:00:00,2018-12-01,5,NA
Sandridge Bridge,2018-12-01 05:00:00,2018-12-01,5,83
State Library,2018-12-01 05:00:00,2018-12-01,5,31
Collins St (North),2018-12-01 05:00:00,2018-12-01,5,14
Collins Place (South),2018-12-01 05:00:00,2018-12-01,5,31
Collins Place (North),2018-12-01 05:00:00,2018-12-01,5,11
Chinatown-Swanston St (North),2018-12-01 05:00:00,2018-12-01,5,33
Chinatown-Lt Bourke St (South),2018-12-01 05:00:00,2018-12-01,5,30
Bourke St-Russell St (West),2018-12-01 05:00:00,2018-12-01,5,149
Flinders St-Elizabeth St (East),2018-12-01 05:00:00,2018-12-01,5,213
Spencer St-Collins St (South),2018-12-01 05:00:00,2018-12-01,5,32
Spencer St-Collins St (North),2018-12-01 05:00:00,2018-12-01,5,102
Melbourne Convention Exhibition Centre,2018-12-01 05:00:00,2018-12-01,5,64
QV Market-Elizabeth St (West),2018-12-01 05:00:00,2018-12-01,5,88
QV Market-Peel St,2018-12-01 05:00:00,2018-12-01,5,17
The Arts Centre,2018-12-01 05:00:00,2018-12-01,5,66
St Kilda Rd-Alexandra Gardens,2018-12-01 05:00:00,2018-12-01,5,26
Lonsdale St (South),2018-12-01 05:00:00,2018-12-01,5,83
